rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,params,split0_test_score,split0_train_score
1,-0.33285972343914816,0.0,-0.9980990762000914,0.0,0.4343132972717285,0.0,0.014208078384399414,0.0,10,{'model__alpha': 10},-0.33285972343914816,-0.9980990762000914
2,-0.33285972620688353,0.0,-0.9980990761996406,0.0,0.6135950088500977,0.0,0.019308090209960938,0.0,1,{'model__alpha': 1},-0.33285972620688353,-0.9980990761996406
3,-0.3328597264837185,0.0,-0.9980990761996356,0.0,0.6078729629516602,0.0,0.020513057708740234,0.0,0.1,{'model__alpha': 0.1},-0.3328597264837185,-0.9980990761996356
